"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","view_history","png","Response","accuracy"
TRUE,FALSE,"[]","[]","[]","preload",0,39,"0.0-0.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,"fullscreen",1,100353,"0.0-1.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"browser-check",2,100771,"0.0-2.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",2560,1440,TRUE,"chrome","111.0.0",FALSE,"Windows 10",TRUE,144.2,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"html-keyboard-response",3,101996,"0.0-3.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,"Welcome to the experiment! Press any key to start.",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,"instructions",4,108387,"0.0-4.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6391,NA,NA,"[{""page_index"":0,""viewing_time"":6391}]",NA,NA,NA
NA,NA,NA,NA,NA,"instructions",5,206823,"0.0-5.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98436,NA,NA,"[{""page_index"":0,""viewing_time"":60372},{""page_index"":1,""viewing_time"":38064}]",NA,NA,NA
NA,NA,NA,NA,NA,"video-keyboard-response",6,301226,"0.0-6.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17464,"[""Diverse_final.mp4""]","enter",NA,NA,NA,NA
NA,NA,NA,NA,NA,"sketchpad",7,384793,"0.0-7.0-0.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83531,NA,"button",NA,"55b2d3f2fdf99b525bc839aa_7_image.png",NA,NA
NA,NA,NA,NA,NA,"survey-html-form",8,403240,"0.0-7.0-1.0-0.0","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18440,NA,"{""let_diverse"":""street""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",9,408800,"0.0-7.0-1.0-0.1","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5559,NA,"{""let_diverse"":""stool""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",10,412694,"0.0-7.0-1.0-0.2","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3893,NA,"{""let_diverse"":""straight""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",11,414809,"0.0-7.0-1.0-0.3","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timeout",NA
NA,NA,NA,NA,NA,"sketchpad",12,493804,"0.0-7.0-0.1","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78975,NA,"button",NA,"55b2d3f2fdf99b525bc839aa_12_image.png",NA,NA
NA,NA,NA,NA,NA,"survey-html-form",13,504370,"0.0-7.0-1.1-0.4","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10560,NA,"{""let_diverse"":""pride""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",14,506583,"0.0-7.0-1.1-0.5","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2212,NA,"{""let_diverse"":""present""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",15,508429,"0.0-7.0-1.1-0.6","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1845,NA,"{""let_diverse"":""primary""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",16,510072,"0.0-7.0-1.1-0.7","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1642,NA,"{""let_diverse"":""private""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",17,511651,"0.0-7.0-1.1-0.8","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1578,NA,"{""let_diverse"":""program""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",18,514069,"0.0-7.0-1.1-0.9","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2417,NA,"{""let_diverse"":""procedure""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",19,516454,"0.0-7.0-1.1-0.10","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2384,NA,"{""let_diverse"":""practical""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",20,518606,"0.0-7.0-1.1-0.11","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2151,NA,"{""let_diverse"":""print""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",21,520480,"0.0-7.0-1.1-0.12","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1873,NA,"{""let_diverse"":""prove""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",22,523813,"0.0-7.0-1.1-0.13","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"timeout",NA
NA,NA,NA,NA,NA,"sketchpad",23,586711,"0.0-7.0-0.2","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62877,NA,"button",NA,"55b2d3f2fdf99b525bc839aa_23_image.png",NA,NA
NA,NA,NA,NA,NA,"survey-html-form",24,598116,"0.0-7.0-1.2-0.14","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11399,NA,"{""let_diverse"":""abcess""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",25,600489,"0.0-7.0-1.2-0.15","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2372,NA,"{""let_diverse"":""abstain""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",26,602478,"0.0-7.0-1.2-0.16","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,NA,"{""let_diverse"":""abstract""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",27,604408,"0.0-7.0-1.2-0.17","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,NA,"{""let_diverse"":""abandon""}",NA,NA,NA,NA
NA,NA,NA,NA,NA,"survey-html-form",28,606068,"0.0-7.0-1.2-0.18","55b2d3f2fdf99b525bc839aa","641387e815ec15c3ccbb8ea1","6419e61830db1f1bdf1b70dd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1660,NA,"{""let_diverse"":""abate""}",NA,NA,NA,NA
